value_per_share,thesis_case,start_regime,end_regime,avg_wacc,year1_wacc,year5_wacc,avg_growth,year1_growth,year5_growth,avg_margin,year1_margin,year5_margin,jump_count,long_run_growth_draw,terminal_margin_draw,d_and_a_pct_draw,capex_pct_draw,nwc_pct_draw,terminal_growth_draw,year1_sbc_shares,year5_sbc_shares,ending_shares,upside_downside
5.354694293271694,Base,Bear,Base,0.10594612966431152,0.12719835637214927,0.10395421296986126,0.081546155745753,0.1503691137932346,0.029510778273616364,0.0695219033835405,0.09998066450897862,0.043108462029329095,0.0,0.07343013440287655,0.14929699500726476,0.03521118100663469,0.043956181148348976,0.014788968070342537,0.02895096022912983,1465065.0965272982,750937.2958005203,88474839.26639728,-0.49340640555613113
4.361334954109441,Base,Bear,Base,0.10549827313311196,0.11339965802339054,0.1019948777642789,0.015102664013961306,0.01,0.01,0.057033428205881656,0.07306683926481349,0.031382194442187546,0.0,0.12439482903849308,0.14197603351408092,0.03437717128082487,0.04081403162885003,0.014759405678070265,0.031930860460013186,1286296.4849719815,548934.9532720601,87360897.75751485,-0.5873855294125412
6.645306188943985,Base,Base,Base,0.10430312247665405,0.0962789412509198,0.09287704756974613,0.059848860305525865,0.16926761876633217,0.01,0.07918010100290104,0.10586223835173951,0.05877720148329111,0.0,0.12326755999376438,0.16982857572965948,0.03706401106074326,0.04400138562787722,0.01431366737023547,0.03362562780589965,1489133.4930798933,675058.2100608236,88430267.8669361,-0.37130499631561165
15.635654052024625,Bull,Base,Base,0.10084918712449176,0.10138290631920632,0.1037710632049011,0.15750846848013147,0.18098965941414732,0.1422584576737999,0.14641007696045,0.12806662625124826,0.18287662212342914,0.0,0.14335771587188295,0.16825852146223336,0.03490355608541667,0.041893423196694736,0.014333121881535366,0.033059721750020594,1504062.2254382926,1057177.1520129873,89223300.84253635,0.4792482546853949
6.617579934682858,Bear,Bull,Base,0.10401421482296085,0.09570202630603511,0.10389527628686925,0.07331852239110977,0.2208911252247038,0.01,0.07520216226870242,0.08162790418389176,0.08701934900629253,3.0,0.07788353560730939,0.10609318857464016,0.03362358728977221,0.045319218810063636,0.01921264150697607,0.02910787953086708,1554879.1711980435,714938.6408656625,90558861.32967588,-0.3739281045711582
10.016126709190363,Base,Bull,Base,0.10366472032133918,0.09064271838919706,0.0970959396091961,0.07083752455025283,0.18370224823284315,0.012238402640557174,0.15945306827997638,0.13297970106636803,0.1263797200001067,0.0,0.11889728979056044,0.1741000967797552,0.0327999560299826,0.041265484913563084,0.014799249313652823,0.031166247674768104,1507516.872431028,711038.7206136648,88553483.43198347,-0.05240050054963452
19.419919913437138,Base,Base,Bull,0.099037251485885,0.090897054385113,0.08834919436657894,0.2245753014626323,0.26152428908363784,0.2607727263701504,0.1746107257872544,0.1604385268602001,0.16418014816719306,1.0,0.09943044974129264,0.19101649163087703,0.034207078837417436,0.03939845504956349,0.015574798760418895,0.031665687819154395,1606627.9789654072,1398563.8445579207,90829170.13900648,0.8372677306941474
16.716214225344036,Base,Bear,Base,0.10270567905836026,0.12051518517444121,0.09577138050344691,0.17204162791040858,0.18006892967618487,0.16705870742749607,0.13249148206681188,0.11930134000821511,0.18478186590260332,0.0,0.1394919530486328,0.20918411294536826,0.0361950485296731,0.04136470113389927,0.015785678603150225,0.029949790107957078,1502889.6200664605,1124566.0008747797,89650402.39906055,0.581477220940779
15.971642692149423,Base,Bear,Bull,0.10713465160027366,0.11622795138703412,0.09099774761150817,0.16426848687866552,0.27230040847629555,0.12287378889311115,0.15467663145242863,0.1188695021621151,0.16970345008722365,1.0,0.11638797223695696,0.19186643276537152,0.037070145038552334,0.04242671204856831,0.015454894488842685,0.02686447474453857,1620352.0230212628,1083566.6510314557,90018342.93489169,0.5110352594275707
14.830400242072756,Base,Base,Bull,0.09580084032181099,0.0976507169489449,0.09517497359088198,0.16282408670348816,0.1598765818818498,0.2909765410345977,0.1473751882552375,0.09930820592343231,0.17700091907668333,3.0,0.12223360780501277,0.13284978909296455,0.033617453715419986,0.038162942964863576,0.015512857686390224,0.029281913572175924,1477173.4359167726,1073768.5491784005,89149610.33760694,0.4030653019936381
